Drug Name,File,Field Count,Has 14 Fields,Missing Fields,Status
Dofetilide,drug_modules\cardiovascular\antiarrhythmics.py,23,Yes,None,Complete
Dolutegravir (DTG),drug_modules\antimicrobial\antivirals\hiv_arvs.py,26,Yes,None,Complete
Domperidone,drug_modules\gastrointestinal\prokinetic_antiemetics.py,23,Yes,None,Complete
Donanemab,drug_modules\neurological\alzheimer_dementia_drugs.py,24,Yes,None,Complete
Donepezil,drug_modules\neurological\alzheimer_dementia_drugs.py,24,Yes,None,Complete
Dopamine,drug_modules\emergency\catecholamine_alpha__beta_agonists.py,21,Yes,None,Complete
Doripenem,drug_modules\antimicrobial\antibiotics\beta_lactams.py,23,Yes,None,Complete
Dorzolamide,drug_modules\ophthalmology.py,23,Yes,None,Complete
Dostarlimab,drug_modules\miscellaneous\biological_drugs.py,23,Yes,None,Complete
Doxazosin,drug_modules\cardiovascular\other_cv.py,23,Yes,None,Complete
Doxorubicin,drug_modules\oncology\anthracyclines.py,24,Yes,None,Complete
Doxycycline,drug_modules\antimicrobial\antibiotics\tetracyclines.py,27,Yes,None,Complete
Dronedarone,drug_modules\cardiovascular\antiarrhythmics.py,22,Yes,None,Complete
Dulaglutide,drug_modules\diabetes\glp1_agonists.py,26,Yes,None,Complete
Duloxetine,drug_modules\psychiatry_other\snris.py,22,Yes,None,Complete
Dupilumab,drug_modules\respiratory\respiratory_biologics.py,23,Yes,None,Complete
Durvalumab,drug_modules\miscellaneous\biological_drugs.py,23,Yes,None,Complete
Dutasteride,drug_modules\urology.py,24,Yes,None,Complete
Econazole topical,drug_modules\dermatology.py,23,Yes,None,Complete
Eculizumab,drug_modules\miscellaneous\biological_drugs.py,23,Yes,None,Complete
Edaravone,drug_modules\neurological\cerebral_circulation.py,24,Yes,None,Complete
Edoxaban,drug_modules\cardiovascular\anticoagulants.py,26,Yes,None,Complete
Efavirenz (EFV),drug_modules\antimicrobial\antivirals\hiv_arvs.py,26,Yes,None,Complete
Efavirenz/Tenofovir disoproxil fumarate/Emtricitabine (EFV/TDF/FTC),drug_modules\antimicrobial\antivirals\hiv_arvs.py,26,Yes,None,Complete
Efgartigimod,drug_modules\miscellaneous\biological_drugs.py,23,Yes,None,Complete
Eltrombopag,drug_modules\hematology.py,24,Yes,None,Complete
Emicizumab,drug_modules\hematology.py,24,Yes,None,Complete
Empagliflozin,drug_modules\diabetes\sglt2_inhibitors.py,25,Yes,None,Complete
Emtricitabine (FTC),drug_modules\antimicrobial\antivirals\hiv_arvs.py,26,Yes,None,Complete
Enalapril,drug_modules\cardiovascular\ace_inhibitors.py,30,Yes,None,Complete
Enalaprilat,drug_modules\cardiovascular_other\ace_inhibitors_iv.py,23,Yes,None,Complete
Enoxaparin,drug_modules\cardiovascular\anticoagulants.py,23,Yes,None,Complete
Entecavir,drug_modules\antimicrobial\antivirals\hepatitis.py,26,Yes,None,Complete
Enzalutamide,drug_modules\oncology\hormone_therapy.py,23,Yes,None,Complete
Epinephrine,drug_modules\emergency\catecholamine_alpha__beta_agonists.py,25,Yes,None,Complete
Eplerenone,drug_modules\cardiovascular\diuretics.py,25,Yes,None,Complete
Epoetin alfa,drug_modules\hematology.py,24,Yes,None,Complete
Eptinezumab,drug_modules\neurological\migraine_cgrp_drugs.py,24,Yes,None,Complete
Eravacycline,drug_modules\antimicrobial\antibiotics\others.py,24,Yes,None,Complete
Erenumab,drug_modules\neurological\migraine_cgrp_drugs.py,24,Yes,None,Complete
Erlotinib,drug_modules\oncology\targeted_therapy_tkis.py,23,Yes,None,Complete
Ertapenem,drug_modules\antimicrobial\antibiotics\beta_lactams.py,28,Yes,None,Complete
Ertugliflozin,drug_modules\diabetes\sglt2_inhibitors.py,26,Yes,None,Complete
Erythromycin,drug_modules\antimicrobial\antibiotics\macrolides.py,27,Yes,None,Complete
Erythromycin eye ointment,drug_modules\ophthalmology.py,23,Yes,None,Complete
Erythromycin topical,drug_modules\dermatology.py,23,Yes,None,Complete
Escitalopram,drug_modules\psychiatry_other\ssris.py,24,Yes,None,Complete
Esomeprazole,drug_modules\gastrointestinal\proton_pump_inhibitor_ppis.py,23,Yes,None,Complete
Estradiol,drug_modules\obstetrics_gynecology.py,24,Yes,None,Complete
Etanercept,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Ethambutol,drug_modules\infectious_other\antituberculars.py,26,Yes,None,Complete
Ethinyl estradiol + Levonorgestrel,drug_modules\obstetrics_gynecology.py,24,Yes,None,Complete
Ethosuximide,drug_modules\neurological\anticonvulsants.py,27,Yes,None,Complete
Etomidate,drug_modules\supportive\sedatives_anesthetics_icu.py,26,Yes,None,Complete
Etoposide,drug_modules\oncology\topoisomerase_inhibitors.py,23,Yes,None,Complete
Etoricoxib,drug_modules\analgesics\nsaids.py,23,Yes,None,Complete
Evinacumab,drug_modules\cardiovascular\triglyceride_lowering.py,23,Yes,None,Complete
Evolocumab,drug_modules\cardiovascular\pcsk9_inhibitors.py,22,Yes,None,Complete
Exenatide,drug_modules\diabetes\glp1_agonists.py,26,Yes,None,Complete
Ezetimibe,drug_modules\cardiovascular\cholesterol_absorption_inhibitors.py,23,Yes,None,Complete
Famotidine,drug_modules\gastrointestinal\h2_receptor_antagonists.py,23,Yes,None,Complete
Favipiravir,drug_modules\antimicrobial\antivirals\influenza.py,26,Yes,None,Complete
Febuxostat,drug_modules\miscellaneous\gout_medications.py,26,Yes,None,Complete
Felodipine,drug_modules\cardiovascular\calcium_blockers\dihydropyridines.py,27,Yes,None,Complete
Fenofibrate,drug_modules\cardiovascular\triglyceride_lowering.py,23,Yes,None,Complete
Fentanyl,drug_modules\analgesics\opioid_agonist_strongs.py,25,Yes,None,Complete
Fesoterodine,drug_modules\urology.py,25,Yes,None,Complete
Fexofenadine,drug_modules\supportive\antihistamine_h1_antagonist_2nd_generations.py,24,Yes,None,Complete
Fexofenadine/Pseudoephedrine,drug_modules\ent_oral_nasal_combinations.py,23,Yes,None,Complete
Fidaxomicin,drug_modules\antimicrobial\antibiotics\others.py,27,Yes,None,Complete
Filgrastim,drug_modules\hematology.py,25,Yes,None,Complete
Finasteride,drug_modules\urology.py,26,Yes,None,Complete
Finerenone,drug_modules\cardiovascular\other_cv.py,24,Yes,None,Complete
Fingolimod,drug_modules\neurological\multiple_sclerosis_drugs.py,24,Yes,None,Complete
Flecainide,drug_modules\cardiovascular\antiarrhythmics.py,22,Yes,None,Complete
Fluconazole,drug_modules\antimicrobial\antifungals\azoles.py,26,Yes,None,Complete
Fludrocortisone,drug_modules\endocrinology_other\corticosteroids\short_intermediate_acting.py,23,Yes,None,Complete
Flumazenil,drug_modules\emergency\benzodiazepine_antagonists.py,23,Yes,None,Complete
Fluoxetine,drug_modules\neurological\ssri_selective_serotonin_reuptake_inhibitors.py,24,Yes,None,Complete
Fluphenazine,drug_modules\psychiatry_other\antipsychotics.py,24,Yes,None,Complete
Fluticasone inhaled,drug_modules\respiratory\inhaled_corticosteroid_icss.py,23,Yes,None,Complete
Fluticasone/Salmeterol inhaler,drug_modules\respiratory\combination_inhalers.py,25,Yes,None,Complete
Fluticasone/Umeclidinium/Vilanterol inhaler,drug_modules\respiratory\combination_inhalers.py,25,Yes,None,Complete
Fluvastatin,drug_modules\cardiovascular\statins.py,26,Yes,None,Complete
Fluvoxamine,drug_modules\psychiatry_other\ssris.py,24,Yes,None,Complete
Folic Acid,drug_modules\miscellaneous\vitamins.py,24,Yes,None,Complete
Folic acid,drug_modules\supportive\folates.py,26,Yes,None,Complete
Fondaparinux,drug_modules\cardiovascular\anticoagulants.py,23,Yes,None,Complete
Formoterol,drug_modules\respiratory\long_acting_beta_2_agonist_labas.py,23,Yes,None,Complete
Fosfomycin,drug_modules\antimicrobial\antibiotics\others.py,27,Yes,None,Complete
Fosphenytoin,drug_modules\neurological\anticonvulsants.py,23,Yes,None,Complete
Fremanezumab,drug_modules\neurological\migraine_cgrp_drugs.py,24,Yes,None,Complete
Furosemide,drug_modules\cardiovascular\diuretics.py,25,Yes,None,Complete
Fusidic Acid,drug_modules\dermatology.py,23,Yes,None,Complete
Fusidic acid/Betamethasone topical,drug_modules\dermatology.py,23,Yes,None,Complete
Gabapentin,drug_modules\neurological\anticonvulsant_alpha_2_delta_ligands.py,24,Yes,None,Complete
Galcanezumab,drug_modules\neurological\migraine_cgrp_drugs.py,24,Yes,None,Complete
Ganciclovir,drug_modules\antimicrobial\antivirals\cmv.py,25,Yes,None,Complete
Ganciclovir eye drops,drug_modules\ophthalmology.py,25,Yes,None,Complete
Gefitinib,drug_modules\oncology\targeted_therapy_tkis.py,23,Yes,None,Complete
Gemcitabine,drug_modules\oncology\antimetabolites.py,23,Yes,None,Complete
Gemfibrozil,drug_modules\cardiovascular\triglyceride_lowering.py,23,Yes,None,Complete
Gemifloxacin,drug_modules\infectious_other\fluoroquinolones.py,23,Yes,None,Complete
Gentamicin,drug_modules\antimicrobial\antibiotics\aminoglycosides.py,26,Yes,None,Complete
Gentamicin eye drops,drug_modules\ophthalmology.py,23,Yes,None,Complete
Gentamicin/Betamethasone/Clotrimazole topical,drug_modules\dermatology.py,26,Yes,None,Complete
Ginkgo biloba extract,drug_modules\neurological\cerebral_circulation.py,24,Yes,None,Complete
Ginkgo biloba/Vinpocetine,drug_modules\neurological\neurological_combinations.py,25,Yes,None,Complete
Glibenclamide,drug_modules\diabetes\sulfonylureas.py,29,Yes,None,Complete
Gliclazide,drug_modules\diabetes\sulfonylureas.py,29,Yes,None,Complete
Glimepiride,drug_modules\diabetes\sulfonylureas.py,25,Yes,None,Complete
Glycopyrronium,drug_modules\respiratory\anticholinergic_long_actings.py,23,Yes,None,Complete
Golimumab,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Granisetron,drug_modules\oncology\anti_emetic_5_ht3_antagonists.py,23,Yes,None,Complete
Guselkumab,drug_modules\miscellaneous\biological_drugs.py,25,Yes,None,Complete
Haloperidol,drug_modules\psychiatry_other\antipsychotics.py,24,Yes,None,Complete
Heparin,drug_modules\hematology.py,24,Yes,None,Complete
High-intensity statin (đột quỵ/TIA),drug_modules\cardiovascular_other\statins.py,24,Yes,None,Complete
